age,salary,study_hours,internet_access,experience,purchased
56,90497,5.69,0,12,1
46,76827,3.22,0,14,0
32,85653,4.47,1,12,1
60,78868,4.24,1,18,1
25,63162,5.2,1,4,0
38,38572,5.48,1,3,0
56,44204,6.08,1,7,0
36,103902,3.56,1,17,1
40,70559,8.97,1,13,1
28,72886,6.96,0,9,0
28,24142,1.41,1,0,0
41,69635,8.07,1,7,1
53,60941,1.62,0,7,0
57,119829,1.58,1,18,1
41,40589,6.4,1,0,0
20,19021,3.08,1,0,1
39,24617,7.93,1,2,0
19,33102,5.07,0,1,0
41,68214,0.08,1,5,0
47,95663,2.52,1,18,1
55,70800,2.5,1,11,1
19,41555,0.34,1,0,0
38,127553,4.73,0,17,1
50,57970,1.35,1,3,0
29,70629,2.79,1,7,1
39,81197,8.58,0,18,1
42,95695,1.48,0,16,1
44,112258,5.24,1,20,1
59,99250,1.94,0,20,1
45,107838,7.81,0,15,1
33,47520,7.04,0,5,0
32,71277,9.99,1,9,1
20,15040,9.65,1,0,0
54,87465,1.58,1,17,1
24,61051,4.86,1,3,0
38,86177,1.53,1,10,1
26,41060,5.0,1,0,0
56,95852,3.43,1,18,1
35,26960,8.22,1,2,0
21,20709,0.58,1,1,0
42,102625,7.36,1,19,1
31,48295,1.62,1,5,0
26,33984,6.43,1,1,0
43,96502,4.22,0,16,1
19,19413,2.81,0,1,0
37,102405,5.42,1,16,1
45,42151,1.49,1,2,0
24,56292,7.64,1,2,0
25,36873,6.27,1,3,1
52,40489,1.66,1,1,0
31,33455,3.1,1,4,0
34,77136,4.81,1,8,1
53,41820,8.5,1,0,0
57,85479,0.43,1,14,1
21,28639,7.02,1,2,0
19,42903,8.26,0,1,0
23,27554,3.22,1,2,0
59,127459,9.84,1,18,1
21,28385,9.97,1,1,0
46,105083,4.49,1,18,0
35,46650,8.92,1,3,0
43,82865,2.9,1,14,1
51,44740,9.26,1,1,0
27,66421,5.81,1,8,1
53,81668,1.58,0,14,0
31,84958,5.15,0,12,0
48,67342,6.26,1,10,1
32,68672,9.73,1,5,1
25,43594,0.3,1,0,1
31,32993,5.71,1,1,0
40,65572,8.32,1,5,1
57,92836,3.82,0,13,1
38,73280,1.35,1,8,0
33,38348,6.68,1,6,0
35,18746,8.04,1,0,0
41,73576,4.08,0,8,0
43,111032,9.03,1,20,1
42,41889,6.31,1,1,1
58,34720,0.72,1,5,0
46,104399,0.98,1,16,1
32,107514,3.63,0,12,1
18,30226,0.25,0,0,0
42,42637,4.93,1,0,0
24,61544,1.24,1,6,1
26,32647,8.73,0,0,0
41,77913,6.62,1,14,1
18,15412,9.97,1,0,0
25,51029,2.67,0,7,0
41,66005,2.51,1,11,0
28,50573,7.11,1,4,0
34,44879,0.14,1,5,0
25,59835,3.62,0,3,0
52,31217,1.55,1,4,0
52,108777,0.77,0,17,1
50,69387,6.03,1,9,1
22,45782,8.59,1,0,0
59,50960,7.26,0,1,0
56,84330,1.91,0,9,0
58,91866,3.78,1,17,1
45,91755,1.24,1,16,1
24,34528,0.09,1,4,0
26,44014,4.29,1,1,0
25,42253,0.28,0,1,0
29,39439,3.03,1,2,0
51,34595,6.39,1,5,0
50,49534,7.84,1,5,1
40,29862,6.97,1,2,0
41,72618,8.58,1,13,1
54,90969,7.0,0,15,1
52,77827,5.28,1,9,1
57,54082,9.26,1,2,1
39,40004,1.05,0,6,0
44,88259,8.3,0,13,0
52,110034,5.46,1,14,1
18,22765,1.39,0,0,0
52,24062,1.32,1,0,0
54,46183,5.24,0,4,0
31,60959,6.66,1,10,1
20,44285,3.42,1,2,0
18,42449,0.55,0,0,0
22,34211,9.19,0,3,0
43,38439,2.52,1,0,0
31,85222,5.13,1,10,1
56,47008,8.13,1,3,0
44,61043,5.26,1,3,0
26,62241,3.99,0,4,0
32,48608,8.09,1,6,1
32,88717,2.93,1,12,1
43,69240,4.67,1,8,1
59,108701,6.59,1,19,1
30,73268,8.1,1,12,1
49,117092,1.91,0,16,1
56,71472,9.94,0,13,1
49,107091,3.84,1,18,1
21,42383,8.1,1,2,0
47,99600,0.35,1,14,1
54,53645,3.44,0,1,0
40,82336,3.39,1,11,1
56,83859,3.27,1,15,1
32,50384,0.37,1,10,0
60,73625,9.13,1,10,1
46,42859,5.94,1,2,0
53,37826,8.48,1,6,0
30,17184,4.67,0,0,0
49,39289,5.55,0,1,0
24,47432,2.68,1,5,0
39,38951,8.03,1,1,1
45,105130,7.88,1,19,1
19,18909,4.39,1,0,0
59,78630,2.85,0,10,0
23,39265,7.13,1,4,1
45,123874,8.68,1,20,1
45,92793,3.37,1,17,0
37,46972,4.68,1,2,0
47,47605,9.78,1,3,1
28,45665,2.41,0,8,0
45,72725,5.68,0,9,0
42,109649,7.24,1,20,1
56,122153,0.06,1,18,1
50,111344,1.44,0,15,0
18,48038,7.07,1,0,0
44,60487,9.23,1,6,1
30,86022,4.11,1,10,1
58,53024,0.34,1,10,0
20,38205,5.39,0,0,0
56,126223,6.66,1,18,1
23,57453,1.12,1,3,0
25,63294,0.41,1,7,0
44,55423,4.34,0,5,0
26,24385,6.12,0,2,0
54,52910,8.68,1,10,1
50,72587,3.29,1,8,1
59,80352,8.57,1,13,1
41,70666,7.88,1,12,1
32,44939,3.1,1,0,0
49,116232,3.21,0,20,1
49,86891,9.43,0,10,1
41,111950,9.11,1,15,1
58,70451,7.46,0,12,1
29,22910,0.78,1,0,0
56,76077,5.58,1,9,1
19,45905,2.83,1,0,0
20,44028,9.79,1,1,0
54,24496,4.17,0,1,0
34,103191,4.91,1,15,1
19,52208,5.44,1,1,0
19,38178,7.36,1,1,1
45,88526,7.92,0,16,0
40,108967,3.38,0,19,1
54,81606,4.87,1,11,1
49,121515,4.27,0,15,1
50,119196,9.14,1,20,1
18,46472,0.53,1,0,1
36,104660,2.5,1,17,1
19,24461,7.39,1,1,0
43,71212,1.29,1,13,0
49,49586,1.26,1,5,0
23,37868,5.3,1,0,0
49,82938,6.51,1,11,1
21,22116,4.22,1,1,0
28,19297,1.4,1,0,0
34,24466,6.65,1,3,0
55,126651,4.46,1,20,1
41,31432,5.7,1,2,0
22,29682,8.37,1,0,0
51,48352,2.12,1,8,0
23,58615,3.06,0,2,0
39,101794,6.96,1,13,1
28,72213,5.21,1,8,1
33,38445,9.47,1,2,0
50,82085,4.32,1,13,1
26,31935,2.63,1,1,1
23,32853,3.63,1,1,0
33,49222,8.8,1,5,0
46,84276,8.56,1,20,1
20,39235,9.93,1,0,0
37,18236,3.68,1,0,0
53,77585,6.48,1,8,1
36,77695,5.51,1,9,1
43,35448,2.82,1,2,0
20,43779,2.23,0,1,0
36,67197,1.96,1,12,0
37,53814,5.17,1,7,0
49,32969,4.46,1,0,0
24,29691,7.0,1,3,0
58,65137,3.74,1,12,1
50,60847,2.25,1,6,0
57,111590,3.78,0,14,1
56,58966,4.78,1,10,1
35,71143,5.3,1,13,1
57,56553,1.58,0,5,1
18,45214,0.85,0,0,0
28,23894,7.51,1,0,1
45,27141,3.37,1,1,0
42,47636,9.48,1,5,1
40,79162,1.07,1,17,0
48,99757,6.44,1,19,1
47,113138,0.92,1,17,1
59,89535,9.86,1,14,1
52,77405,5.44,1,11,1
24,26360,1.34,1,2,0
33,85917,0.3,0,8,0
43,104811,1.68,0,14,1
19,47177,3.07,0,1,0
18,35851,2.15,0,0,0
29,59252,2.16,1,11,0
22,50802,2.8,1,1,0
54,40771,6.85,1,6,0
49,114717,7.42,1,18,1
26,42121,4.64,1,3,0
58,63977,3.13,1,3,0
